source,source_job_id,company,title,location,latitude,longitude,employment_type,workplace_type,detected_intents,course_scores,url
lever,41468aca-c1c2-4a7b-aec8-f499e64b6d1e,Shield AI,Aerostructures Design Engineer II (R4953),"Seattle, Washington",47.60621,-122.33207,Full Time Employee,onsite,,"{""electrical_engineering"": 0, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 17, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/41468aca-c1c2-4a7b-aec8-f499e64b6d1e
lever,baaae144-6477-4f3b-975b-ec1d04d0a7e4,Shield AI,Aerostructures Design Engineer II (R5156),"Seattle, Washington",47.60621,-122.33207,Full Time Employee,onsite,,"{""electrical_engineering"": 9, ""computer_science"": 0, ""mechanical_engineering"": 58, ""civil_engineering"": 17, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/baaae144-6477-4f3b-975b-ec1d04d0a7e4
lever,30df7ce0-c4c3-400e-ac9c-12537cea37ce,Shield AI,Aerostructures Design Engineer II (R5157),"Seattle, Washington",47.60621,-122.33207,Full Time Employee,onsite,,"{""electrical_engineering"": 9, ""computer_science"": 0, ""mechanical_engineering"": 58, ""civil_engineering"": 17, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/30df7ce0-c4c3-400e-ac9c-12537cea37ce
lever,66ab9907-83b7-4b5a-bf16-520d54d42fa7,Shield AI,"Air Vehicle Lead, Chief Engineer","San Diego, California",32.71571,-117.16472,Full Time Employee,onsite,,"{""electrical_engineering"": 54, ""computer_science"": 0, ""mechanical_engineering"": 12, ""civil_engineering"": 9, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/66ab9907-83b7-4b5a-bf16-520d54d42fa7
lever,2394368a-67ff-441c-83c3-e998446327e7,Shield AI,"Applications Engineer, Autonomy (open level)","San Diego, California",32.71571,-117.16472,Full Time Employee,hybrid,,"{""electrical_engineering"": 9, ""computer_science"": 0, ""mechanical_engineering"": 9, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/2394368a-67ff-441c-83c3-e998446327e7
lever,8afc41da-27a5-4054-a3c7-87b3ceb6cf0a,Shield AI,"Applications Engineer, Autonomy (open level)",United States,,,Full Time Employee,hybrid,,"{""electrical_engineering"": 9, ""computer_science"": 0, ""mechanical_engineering"": 9, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/8afc41da-27a5-4054-a3c7-87b3ceb6cf0a
lever,ca142049-83c4-40bf-9522-3e323d4c3672,Shield AI,"Applications Engineer, Learning & Development- Open Level (R5053)","Washington, DC",38.89511,-77.03637,Full Time Employee,hybrid,,"{""electrical_engineering"": 0, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/ca142049-83c4-40bf-9522-3e323d4c3672
lever,78842190-deba-4864-9ef9-272009cb15a4,Shield AI,"Associate Engineer, Manufacturing","Dallas, Texas",32.78306,-96.80667,Full Time Employee,onsite,,"{""electrical_engineering"": 54, ""computer_science"": 0, ""mechanical_engineering"": 17, ""civil_engineering"": 9, ""production_engineering"": 15, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/78842190-deba-4864-9ef9-272009cb15a4
lever,ce904fcd-f35e-4f69-8544-26178c18e956,Shield AI,Associate Facilities Coordinator (R5534),Kyiv,50.45466,30.5238,International EOR,onsite,internship,"{""electrical_engineering"": 0, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/ce904fcd-f35e-4f69-8544-26178c18e956
lever,7122f5bf-e6fb-40e1-8fd1-084655a0657b,Shield AI,Associate Facilities Coordinator (R5567),Lviv,49.83826,24.02324,International EOR,onsite,internship,"{""electrical_engineering"": 0, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/7122f5bf-e6fb-40e1-8fd1-084655a0657b
lever,5bba86c8-b11b-48a8-9ec5-e1d258defc83,Shield AI,Associate Sourcing Specialist (R5490),"Dallas, Texas",32.78306,-96.80667,Full Time Employee,onsite,,"{""electrical_engineering"": 0, ""computer_science"": 0, ""mechanical_engineering"": 9, ""civil_engineering"": 0, ""production_engineering"": 15, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/5bba86c8-b11b-48a8-9ec5-e1d258defc83
